SEASON,AVG_AGE,AVG_HEIGHT_INCHES,AVG_WEIGHT
1996,27.952272727272728,79.13181818181818,221.69545454545454
1997,28.084282460136674,78.98405466970387,221.0478359908884
1998,27.968109339407746,79.09794988610479,221.94077448747151
1999,28.095671981776764,79.1002277904328,222.06833712984056
2000,27.885572139303484,79.10696517412936,223.14427860696517
2001,27.50835322195704,79.19331742243436,223.98090692124106
2002,27.49764150943396,79.35849056603773,225.11556603773585
2003,27.457013574660632,79.2579185520362,224.06787330316743
2004,27.29741379310345,79.23060344827586,224.20474137931035
2005,26.890829694323145,79.10262008733625,223.4170305676856
2006,26.858078602620086,79.0174672489083,223.3930131004367
2007,27.19290465631929,79.07538802660754,222.53880266075387
2008,26.9438202247191,79.21123595505618,223.53483146067416
2009,27.079185520361992,79.08144796380091,223.02262443438914
2010,27.134955752212388,79.21681415929204,224.09513274336283
2011,27.089958158995817,79.06485355648536,222.79707112970712
2012,27.066098081023455,79.0405117270789,222.41577825159914
2013,26.96265560165975,79.04149377593362,221.68672199170123
2014,26.993839835728952,79.08829568788501,221.53798767967146
2015,27.05252100840336,79.11344537815125,221.37605042016807
2016,26.849794238683128,79.09876543209876,220.12139917695472
2017,26.524074074074075,78.92037037037036,217.84259259259258
2018,26.350943396226416,78.95094339622642,217.31132075471697
2019,26.00945179584121,78.32325141776937,217.2249527410208
2020,25.994444444444444,78.31296296296296,216.58333333333334
2021,26.16694214876033,78.0909090909091,214.5900826446281
2022,26.150278293135436,78.4508348794063,215.67532467532467
2023,26.173076923076923,78.40034965034965,214.59615384615384
2024,26.243386243386244,78.51675485008818,215.17460317460316
