PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1628374,Lauri Markkanen,UTA,28.0,7-0,84,240,Forward-Center
2544,LeBron James,LAL,40.0,6-9,81,250,Forward
1631159,Leonard Miller,MIN,21.0,6-10,82,220,Forward
1631311,Lester Quinones,NOP,24.0,6-4,76,208,Guard
1641857,Liam Robbins,MIL,25.0,7-0,84,250,Center
1630322,Lindy Waters III,DET,27.0,6-6,78,210,Forward
1629022,Lonnie Walker IV,PHI,26.0,6-4,76,204,Guard-Forward
1628366,Lonzo Ball,CHI,27.0,6-6,78,190,Guard
1629652,Luguentz Dort,OKC,26.0,6-4,76,220,Guard
1629029,Luka Dončić,LAL,26.0,6-6,78,230,Forward-Guard
1630568,Luka Garza,MIN,26.0,6-10,82,243,Center
1628379,Luke Kennard,MEM,29.0,6-5,77,206,Guard
1628436,Luke Kornet,BOS,29.0,7-1,85,250,Center-Forward
1631247,Luke Travers,CLE,23.0,6-7,79,207,Forward
1630644,Mac McClung,ORL,26.0,6-2,74,185,Guard
1630201,Malachi Flynn,SAS,27.0,6-1,73,185,Guard
1631103,Malaki Branham,SAS,22.0,6-4,76,180,Forward
1627763,Malcolm Brogdon,WAS,32.0,6-4,76,229,Guard
1642502,Malevy Leons,OKC,25.0,6-9,81,210,Forward
1627736,Malik Beasley,DET,28.0,6-4,76,187,Guard
1628370,Malik Monk,SAC,27.0,6-3,75,200,Guard
1630699,MarJon Beauchamp,NYK,24.0,6-7,79,199,Forward
1630542,Marcus Bagley,PHI,23.0,6-6,78,217,Forward
1630585,Marcus Garrett,CHA,26.0,6-5,77,205,Guard
1631204,Marcus Sasser,DET,24.0,6-2,74,195,Guard
203935,Marcus Smart,WAS,31.0,6-3,75,220,Guard
1631109,Mark Williams,CHA,23.0,7-0,84,240,Center
1628365,Markelle Fultz,SAC,27.0,6-4,76,209,Guard
202693,Markieff Morris,LAL,35.0,6-9,81,245,Forward
1628963,Marvin Bagley III,MEM,26.0,6-10,82,235,Forward
1630222,Mason Jones,SAC,26.0,6-4,76,200,Guard
203486,Mason Plumlee,PHX,35.0,6-10,82,254,Forward-Center
1641824,Matas Buzelis,CHI,20.0,6-10,82,209,Forward
1629680,Matisse Thybulle,POR,28.0,6-5,77,201,Guard-Forward
1630346,Matt Ryan,NOP,28.0,6-6,78,215,Forward
1631108,Max Christie,DAL,22.0,6-5,77,190,Guard
1629622,Max Strus,CLE,29.0,6-5,77,215,Guard-Forward
1628467,Maxi Kleber,LAL,33.0,6-10,82,240,Forward
1641721,Maxwell Lewis,BKN,22.0,6-7,79,215,Forward
1630695,Micah Potter,UTA,27.0,6-9,81,248,Center
1629008,Michael Porter Jr.,DEN,27.0,6-10,82,218,Forward
1628969,Mikal Bridges,NYK,28.0,6-6,78,209,Guard-Forward
201144,Mike Conley,MIN,37.0,6-0,72,175,Guard
1628970,Miles Bridges,CHA,27.0,6-7,79,225,Forward
1630540,Miles McBride,NYK,24.0,6-1,73,195,Guard
1641936,Miles Norris,BOS,25.0,6-7,79,220,Forward
